Hipopotam to roślinożerca;False
Jabłecznik jest bezkaloryczny;False
Kciuk jest najdłuższym placem;False
Nerka filtruje mocz. ;True
Karaluch jest ssakiem;False
Marchewka jest pomarańczona;True
Świerszcz jest owadem;True
Gepard jest drapieżnikiem;True
Tygrys to ssak;True
Byk to ssak roślinożerny;True
Spódnica jest pożywieniem;False
Wrona jest gatunkiem pająka;False
Żebra chronią płuca.;Trues
Lawa to płynna skała;True
Geodeta piecze ciasta;False
Niedźwiedź to drapieżnik;True
Szklarz piecze ciasta;False
Hiena poluje w stadach;True
Sos pomidorowy jest z pomidorów;True
Ostrokrzew jest krzewem;True
Na olimpiadzie każdy wygrywa;False
Sernik to ciasto;True
Ananas to warzywo;False
Jelita trawią pokarm. ;True
Na plastyce się rysuje;True
Kurtka to okrycie wierzchnie;False
Kret kopie tunele;True
Papryka jest warzywem;True
Tatar to danie wegetariańskie;False
Panda jest różowa;False
Zegarmistrz piecze potrawy;False
Garnitur jest strojem formalnym;True
Kura jest drapieżnikiem;False
Żołądek trawi pokarm. ;True
Piórnik przechowuje przybory;True
Krawiec szyje ubrania;True
Fotograf sprząta chodniki;False
Cukiernik tankuje paliwo;False
Kręgosłup jest elastyczny. ;True
Hydraulik tańczy na rurze;False
Kucharz gotuje posiłki;True
Pilot projektuje suknie ślubne;False
Wycieraczki wycierają szybę;True
Sałatka jest lekkim posiłkiem;True
Nozdrza umożliwiają oddychanie.;True
Bóbr jest gatunkiem ptaka;False
Pępek jest na brzuchu;True
Alpaka to gatunek owada;False
Ryż jest popularny w Azji;True
Biegi przełajowe to wyścigi;True
Jednorożec jest istotą mityczną;True
Wieloryb to gatunek owada;False
Płuca umożliwiają oddychanie. ;True
Rzut dyskiem to uderzanie piłką;False
Kapibara to gatunek małpy;False
Chipsy to zdrowa przekąska;False
Chomik jest gatunkiem ryby;False
Kiwi jest owocem;True
Paproć jest niebieska;False
Zupa jarzynowa jest z owoców;False
Makaron jest włoskim daniem;True
Księżyc w pełni jest kwadratowy;False
Fasola jest owocem;False
Terapeuta gotuje obiady;False
Oliwa z oliwek jest zdrowa;True
Szachy są sportem umysłowym;True
Ogrodnik pielęgnuje rośliny;True
Sweter chroni przed zimnem. ;True
Pomidory można jeść na surowo;True
Buraki są owocami;False
Inżynier projektuje mosty;True
Jagnięcina to mięso z kury;False
Dziobak to ssak wodny;True
Paznokcie są naturalnie zielone;False
Orka to ssak wodny;True
Szorty są popularne latem. ;True
Banany rosną na drzewach;True
Cukier szkodzi na zęby;True
Ratownik sprzedaje biżuterię;False
Nawigacja pomaga w podróżowaniu;True
Rekin jest rybą;True
Szpinak jest zielony;True
Przebiśnieg przebija śnieg;True
Lawenda jest zielona;False
Kostka stabilizuje stopę. ;True
Narciarstwo to sport zimowy;True
Kalkulator pomaga w obliczeniach;True
Chleb jest z mąki;True
Jogurt można jeść;True
Dentysta leczy zęby;True
Klej służy do klejenia;True
Sowa jest nocnym ptakiem;True
Elektryk naprawia urządzenia ;True
Rumianek jest zdrowy;True
Akwarele to farby wodne;True
Gumka służy do ścierania ;True
Pączki są zdrowe;False
Strażak gasi pożary ;True
Kosmetyczka pielęgnuje skórę ;True
Deszcz jest mokry;True
Kawa pobudza organizm;True
Hamulce służą do hamowania;True
Gardło łączy nos z przełykiem. ;False
Ryś to gatunek ptaka;False
Żubr to gatunek ptaka;False
Kiełbasa jest z mięsa;True
Goryl to gatunek ptaka;False
Ping pong nie wymaga paletek;False
Wątroba magazynuje energię. ;False
Ser żółty to mięso;False
Zderzak chroni pojazd;True
Aloes rośnie na Księżycu;False
Orzechy są zdrowe;True
Fryzjer obcina włosy;True
Łabędź to gatunek ptaka;True
Wściekłość to negatywna emocja;True
Szczur to gatunek ptaka;False
Wiatr jest niewidzialny;True
Farmaceuta sprzedaje leki;True
Pokojówka uczy nurkowania;False
Surfing odbywa się na lądzie;False
Jeziora są głębsze od oceanów;False
Owca to zwierzę roślinożerne;True
Tenis stołowy wymaga paletek;True
Jabłka są zdrowe;True
Osa to gatunek ryby;False
Gwiazda to kula gazowa;True
Czekolada zawiera kakao;True
W paintballu używa się kulek;True
Zając to zwierzę roślinożerne;True
Kwiat umie tańczyć;False
Dorsz to ryba morska;True
Pizza pochodzi z Japonii;False
Zeszyt służy do notowania;True
Świerk jest drzewem iglastym;True
Baran to zwierzę stadne;True
Szyba chroni przed wiatrem.;True
Spadochroniarstwo to sport wodny;False
Sprzedawca obsługuje klientów;True
Jajka pochodzą od kur;True
Paznokcie chronią palce. ;True
W hokeju używa się nart;False
Lis to zwierzę mięsożerne;True
Grawitacja odpycha przedmioty;False
Buty nosi się na stopach;True
W listopadzie opadają liście.;True
Szalik się nosi w zimie;True
Ząb służy do gryzienia. ;True
Astronom obserwuje gwiazdy;True
Plecak nosi się na plecach;True
Zbiornik paliwa jest z papieru;False
Trawa jest zielona;True
W świetlicy buduje się samoloty;False
Krew transportuje substancje. ;True
Gimnastyka wymaga elastyczności;True
Zazdrość to cecha ludzka;True
Na korepetycjach się uczy;True
Silnik jest w samolocie;True
Podłoga jest pod stopami;True
Tłumacz przekłada teksty;True
Dłoń umożliwia chwytanie.;True
Nos służy do oddychania. ;True
Łazienka służy do kąpieli. ;True
Golf wymaga kija;True
Wątroba produkuje krew. ;False
Roleta zasłania okno. ;True
Do hula hoop potrzeba piłki;False
Biodro łączy nogę z tułowiem.;True
Weterynarz leczy zwierzęta ;True
Kolano umożliwia zginanie nogi. ;True
Kocimiętka przyciąga koty;True
Jemioła to zwierzę;False
Pielęgniarka dba o pacjentów ;True
Mak rośnie na polu;True
Halloween jest w czerwcu;False
Koło zapasowe jest okrągłe;True
Klatka piersiowa chroni serce.;True
Kozaki to rodzaj obuwia;True
Kamień umie pływać;False
Śliwa daje śliwki;True
Jubiler sprząta pokoje;False
Łucznictwo sportowe wymaga łuku;True
Kasztanowiec daje kasztany;True
Truskawki są owocami letnimi;True
Architekt projektuje budynki ;True
Liście zmieniają kolor jesienią;True
Koń to zwierzę kopytne;True
Wigilia jest w grudniu;True
Szarlotka to rodzaj mebla;False
Jabłoń daje jabłka;True
Koperek rośnie na drzewie;False
Ucho umożliwia słyszenie. ;True
Matura to rodzaj musicalu;False
Kangur potrafi skakać;True
Paliwo jest potrzebne do jazdy;True
Żółw potrafi latać;False
Nietoperz potrafi latać;True
Kucyk potrafi latać;False
Delfin potrafi latać;False
Pingwin potrafi latać;False
Piłka nożna wymaga piłki;True
Florysta gra na instrumentach ;False
Gołąb potrafi latać;True
Noga umożliwia chodzenie. ;True
Świnia potrafi się wspinać;False
Motyl potrafi latać;True
Puma to gatunek kota;True
Jaguar to gatunek kota;True
Kurczak jest białym mięsem;True
Socjolog bada społeczeństwo;True
Pająk potrafi latać;False
Trener leczy choroby ;False
Jastrząb potrafi pływać;False
Szkolny bus potrafi latać;False
Wiewiórka potrafi pływać;False
Koszykówka grana jest na boisku;True
Foka żyje na lądzie;False
Kości tworzą szkielet;True
Leniwiec szybko biega;False
Czarna wdowa jest różowa;False
Niebo jest zielone;False
Muzyk gra na instrumentach;True
Pluton jest najbliżej Słońca;False
Prawnik broni klientów;True
W kwietniu rosną kwiaty. ;True
Krowa daje mleko;True
Klamka otwiera okno;True
Ekonomista analizuje rynek;True
Język umożliwia smakowanie. ;True
Koza daje mleko;True
Ochroniarz buduje budynki;False
Na technice gra się w rugby;False
Mysz lubi pływać;False
Kot to drapieżnik;True
Bułki to rodzaj mięsa;False
Przedpokój to wejście do pokoju;True
Sarna poluje w nocy;False
Ptak potrafi latać;True
Orkiestra buduje budynki;False
Marynarkę nosi się na nogach;False
Koala lubi mięso;False
Malarz maluje obrazy;True
Piekarz pracuje na recepcji;False
MMA to mieszane sztuki walki;True
